"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
15426,"NM","ALMENA, KS",,"10/23/2020","10538","4104","ALMENA STATE BANK",65733,64941,"FAILURE","PA","DIF"
16748,"NM","FORT WALTON BEACH, FL",,"10/16/2020","10537","4103","FIRST CITY BANK OF FLORIDA",136566,133936,"FAILURE","PA","DIF"
14361,"NM","BARBOURSVILLE, WV",,"04/03/2020","10536","4102","THE FIRST STATE BANK",151808,143102,"FAILURE","PA","DIF"
18265,"NM","ERICSON, NE",,"02/14/2020","10535","4101","ERICSON STATE BANK",100879,95159,"FAILURE","PA","DIF"
21111,"N","NEWARK, NJ",2491,"11/01/2019","10534","4100","CITY NATIONAL BANK OF NEW JERSEY",120574,111234,"FAILURE","PA","DIF"
58112,"NM","LOUISA, KY",4547,"10/25/2019","10532","4098","LOUISA COMMUNITY BANK",28163,25174,"FAILURE","PA","DIF"
58317,"SB","MAUMEE, OH",2188,"10/25/2019","10533","4099","RESOLUTE BANK",23292,22885,"FAILURE","PA","DIF"
10716,"NM","COOPER, TX",21577,"05/31/2019","10531","4097","ENLOE STATE BANK",36738,31254,"FAILURE","PI","DIF"
30570,"SB","CHICAGO, IL",86826,"12/15/2017","10530","4096","WASHINGTON FEDERAL BANK FOR SAVINGS",166345,143964,"FAILURE","PI","DIF"
17719,"NM","ARGONIA, KS",280,"10/13/2017","10529","4095","THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA",33012,27466,"FAILURE","PA","DIF"
1802,"SM","SAINT ELMO, IL",8544,"05/26/2017","10528","4094","FAYETTE COUNTY BANK",34370,33972,"FAILURE","PA","DIF"
30003,"SB","MILWAUKEE, WI",133914,"05/05/2017","10527","4093","GUARANTY BANK",1031900,1002026,"FAILURE","PA","DIF"
58302,"NM","NEW ORLEANS, LA",858100,"04/28/2017","10526","4092","FIRST NBC BANK",3325870,3032208,"FAILURE","PA","DIF"
35495,"NM","COTTONWOOD HEIGHTS, UT",9302,"03/03/2017","10525","4091","PROFICIO BANK",68208,65042,"FAILURE","PA","DIF"
19328,"NM","CHICAGO, IL",44526,"01/27/2017","10524","4090","SEAWAY BANK AND TRUST COMPANY",297809,256505,"FAILURE","PA","DIF"
34951,"NM","PENNSVILLE, NJ",22158,"01/13/2017","10523","4089","HARVEST COMMUNITY BANK",124223,122177,"FAILURE","PA","DIF"
91,"SM","MULBERRY, AR",6213,"09/23/2016","10522","4088","ALLIED BANK",66336,64713,"FAILURE","PA","DIF"
11297,"NM","WOODBURY, GA",3290,"08/19/2016","10521","4087","THE WOODBURY BANKING COMPANY",21426,21122,"FAILURE","PA","DIF"
35312,"NM","KING OF PRUSSIA, PA",10825,"05/06/2016","10520","4086","FIRST CORNERSTONE BANK",103307,101040,"FAILURE","PA","DIF"
9956,"NM","MEMPHIS, TN",10372,"04/29/2016","10519","4085","TRUST COMPANY BANK",18998,20148,"FAILURE","PA","DIF"
20364,"NM","MILWAUKEE, WI",11763,"03/11/2016","10518","4084","NORTH MILWAUKEE STATE BANK",67115,61493,"FAILURE","PA","DIF"
35156,"N","LONGVIEW, WA",995,"10/02/2015","10517","4082","HOMETOWN NATIONAL BANK",3785,3705,"FAILURE","PA","DIF"
35259,"NM","PEACHTREE CITY, GA",27760,"10/02/2015","10516","4083","THE BANK OF GEORGIA",286102,264234,"FAILURE","PA","DIF"
34112,"SM","DENVER, CO",1210,"07/10/2015","10515","4081","PREMIER BANK",26760,25480,"FAILURE","PA","DIF"
57772,"NM","CHICAGO, IL",20651,"05/08/2015","10514","4080","EDGEBROOK BANK",90034,90007,"FAILURE","PA","DIF"
32102,"NM","SAN JUAN, PR",693979,"02/27/2015","10513","4079","DORAL BANK",5898515,4097734,"FAILURE","PA","DIF"
33938,"NM","ATLANTA, GA",96014,"02/13/2015","10512","4078","CAPITOL CITY BANK & TRUST COMPANY",272311,262652,"FAILURE","PA","DIF"
20290,"NM","CHICAGO, IL",4743,"01/23/2015","10511","4077","HIGHLAND COMMUNITY BANK",54727,53453,"FAILURE","PA","DIF"
17557,"N","CRESTVIEW, FL",6329,"01/16/2015","10510","4076","FIRST NATIONAL BANK OF CRESTVIEW",73804,73199,"FAILURE","PA","DIF"
34983,"NM","MANKATO, MN",3946,"12/19/2014","10509","4075","NORTHERN STAR BANK",18794,18221,"FAILURE","PA","DIF"
34738,"SB","PALM DESERT, CA",2905,"11/07/2014","10508","4074","FRONTIER BANK, FSB",80736,76344,"FAILURE","PA","DIF"
916,"N","CHICAGO, IL",57273,"10/24/2014","10507","4073","THE NATIONAL REPUBLIC BANK OF CHICAGO",843118,809638,"FAILURE","PA","DIF"
4862,"SM","RISING SUN, MD",19837,"10/17/2014","10506","4072","NBRS FINANCIAL BANK",155353,151559,"FAILURE","PA","DIF"
28462,"SB","CHICAGO, IL",18412,"07/25/2014","10505","4071","GREENCHOICE BANK, FSB",70286,68722,"FAILURE","PA","DIF"
58125,"NM","CONYERS, GA",38334,"07/18/2014","10504","4070","EASTSIDE COMMERCIAL BANK",173946,166875,"FAILURE","PA","DIF"
12483,"NM","FREEDOM, OK",3734,"06/27/2014","10503","4069","THE FREEDOM STATE BANK",22816,20855,"FAILURE","PA","DIF"
10450,"NM","MOLINE, IL",61339,"06/20/2014","10502","4067","VALLEY BANK",456442,359953,"FAILURE","PA","DIF"
21793,"NM","FORT LAUDERDALE, FL",5439,"06/20/2014","10501","4068","VALLEY BANK",81843,66541,"FAILURE","PA","DIF"
32368,"SB","BEL AIR, MD",10954,"05/30/2014","10500","4066","SLAVIE FEDERAL SAVINGS BANK",140063,111142,"FAILURE","PA","DIF"
32284,"SI","CINCINNATI, OH",7224,"05/23/2014","10499","4065","COLUMBIA SAVINGS BANK",36484,29538,"FAILURE","PA","DIF"
57866,"NM","BERWYN, IL",21715,"05/16/2014","10498","4064","AZTECAMERICA BANK",66309,65031,"FAILURE","PA","DIF"
15062,"NM","FAIRFAX, SC",22149,"04/25/2014","10497","4063","ALLENDALE COUNTY BANK",49498,49356,"FAILURE","PA","DIF"
35096,"N","STERLING, VA",10940,"02/28/2014","10495","4061","MILLENNIUM BANK, NATIONAL ASSOCIATION",130305,121704,"FAILURE","PA","DIF"
58531,"NM","HORSHAM, PA",8956,"02/28/2014","10496","4062","VANTAGE POINT BANK",63453,62472,"FAILURE","PA","DIF"
34296,"NM","BOISE, ID",3487,"01/31/2014","10494","4060","SYRINGA BANK",153361,145813,"FAILURE","PA","DIF"
17967,"NM","EL RENO, OK",96352,"01/24/2014","10493","4059","THE  BANK OF UNION",317172,315843,"FAILURE","PA","DIF"
5732,"N","WEST CHICAGO, IL",1530,"01/17/2014","10492","4058","DUPAGE NATIONAL BANK",53524,51878,"FAILURE","PA","DIF"
